date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:05:03	12365/12365	---M--	200	added ('OK')	text/html	etag:0x8DEBD9F527D68CC	https://nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/index.php.html	C:/mi%20copia/kirito/nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/index.php.html	(from )
02:05:04	226/226	---M--	400	error ('One%20of%20the%20request%20inputs%20is%20out%20of%20range.')	application/xml	date:Sun,%2021%20Jun%202026%2007:05:04%20GMT	https://nequiprestamopropulsor.blob.core.windows.net/robots.txt		(from )
02:05:05	232018/232018	---M--	200	added ('OK')	image/jpeg	etag:0x8DEC25C5500AB4C	https://imagecredit.blob.core.windows.net/image/image.jpg	C:/mi%20copia/kirito/imagecredit.blob.core.windows.net/image/image.jpg	(from https://nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/index.php.html)
02:05:05	38415/38415	---M--	200	added ('OK')	text/css	etag:0x8DEBD9F5780FFFD	https://nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/css/globals.css	C:/mi%20copia/kirito/nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/css/globals.css	(from https://nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/index.php.html)
02:05:06	7219/7219	---M--	200	added ('OK')	text/css	etag:0x8DEBD9F5796E061	https://nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/css/index.css	C:/mi%20copia/kirito/nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/css/index.css	(from https://nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/index.php.html)
02:05:06	2207/2207	---M--	200	added ('OK')	text/css	etag:0x8DEBD9F58134D06	https://nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/css/spinner.css	C:/mi%20copia/kirito/nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/css/spinner.css	(from https://nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/index.php.html)
02:05:07	15406/15406	---M--	200	added ('OK')	image/x-icon	etag:0x8DEBD9F53F6C8AF	https://nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/assets/favicon.ico	C:/mi%20copia/kirito/nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/assets/favicon.ico	(from https://nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/index.php.html)
02:05:08	181374/181374	---M--	200	added ('OK')	image/jpeg	etag:0x8DEBD9F53BC4B48	https://nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/assets/2.jpg	C:/mi%20copia/kirito/nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/assets/2.jpg	(from https://nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/index.php.html)
02:05:08	257808/257808	---M--	200	added ('OK')	image/jpeg	etag:0x8DEBD9F53DD90A1	https://nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/assets/1.jpg	C:/mi%20copia/kirito/nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/assets/1.jpg	(from https://nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/index.php.html)
02:05:09	84266/84266	---M--	200	added ('OK')	image/jpeg	etag:0x8DEBD9F5548A8AC	https://nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/assets/inicial.jpg	C:/mi%20copia/kirito/nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/assets/inicial.jpg	(from https://nequiprestamopropulsor.blob.core.windows.net/cr2ne/neq/1/index.php.html)
